x-axis,1,2
second,Ampere,Volt
0.00,0.07,285.79
0.00,0.58,265.33
0.00,0.17,297.47
0.00,0.12,287.37
0.00,0.27,285.02
0.00,0.22,287.64
0.00,0.37,289.18
0.00,0.17,297.49
0.00,-0.03,326.02
0.00,0.54,257.29
0.00,0.36,297.49
0.00,-0.03,313.57
0.00,0.17,278.04
0.00,0.38,280.11
0.00,0.17,304.75
0.00,0.38,284.26
0.00,-0.03,305.53
0.00,0.17,275.44
0.00,0.55,275.45
0.00,0.10,310.45
0.00,-0.03,292.81
0.00,0.38,273.37
0.00,0.17,309.42
0.00,0.29,284.78
0.00,0.10,313.83
0.00,-0.01,291.00
0.00,0.58,266.88
0.00,0.17,309.16
0.00,0.12,279.07
0.00,0.38,265.59
0.00,0.38,301.12
0.00,0.38,285.56
0.00,0.38,289.45
0.00,0.17,305.53
0.00,0.78,239.39
0.00,0.47,297.49
0.00,0.33,285.04
0.00,0.76,98.28
0.00,0.72,237.83
0.00,0.78,241.21
0.00,0.78,263.77
0.00,0.38,272.34
0.00,1.04,230.58
0.00,0.98,261.95
0.00,0.78,251.85
0.00,1.16,256.51
0.00,1.18,252.60
0.00,1.38,233.17
0.00,1.38,257.29
0.00,0.98,280.37
0.00,1.58,217.09
0.00,1.58,254.43
0.00,1.56,242.77
0.00,1.75,228.00
0.00,1.58,193.71
0.00,1.98,184.92
0.00,1.80,216.56
0.00,1.58,210.59
0.00,2.07,180.51
0.00,2.24,201.01
0.00,2.18,209.05
0.00,2.39,195.58
0.00,2.18,216.53
0.00,2.73,166.76
0.00,2.59,201.00
0.00,2.33,204.91
0.00,2.69,189.06
0.00,2.79,184.92
0.00,2.59,192.96
0.00,2.79,198.68
0.00,2.39,195.23
0.00,2.99,168.84
0.00,2.99,201.01
0.00,2.72,217.09
0.00,2.99,192.96
0.00,3.02,192.96
0.00,3.01,184.92
0.00,3.19,203.85
0.00,2.79,225.13
0.00,3.36,183.87
0.00,3.39,201.01
0.00,3.11,218.93
0.00,3.46,198.14
0.00,3.55,199.30
0.00,3.79,176.88
0.00,3.71,201.01
0.00,3.39,220.12
0.00,3.98,78.77
0.00,3.83,192.96
0.00,3.59,210.66
0.00,3.85,158.82
0.00,3.60,217.09
0.00,3.99,178.68
0.00,3.99,201.01
0.00,3.64,209.05
0.00,3.79,192.96
0.00,3.99,192.96
0.00,3.89,201.01
0.00,3.84,199.17
0.00,3.79,185.17
0.00,4.19,174.57
0.00,4.08,201.01
0.00,3.79,215.51
0.00,3.99,192.96
0.00,18.93,-268.86
0.00,25.90,-982.16
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,021.11"
0.00,25.90,"-1,002.98"
0.00,25.90,-985.03
0.00,25.90,-942.55
0.00,25.90,-924.16
0.00,25.90,-884.42
0.00,25.90,-836.91
0.00,25.90,-804.02
0.00,25.90,-770.39
0.00,25.90,-721.74
0.00,25.90,-715.58
